Metabolite,Formula
nicrnt_c,C11H12NO9P
nmn_c,C11H14N2O8P
no_c,NO
no2_c,NO2
no3_c,NO3
o16aund_c,C89H145N1O32P2
o2_c,O2
o2s_c,O2
oaa_c,C4H2O5
oc2coa_c,C29H44N7O17P3S
ocACP_c,C19H35N2O8PRS
occoa_c,C29H46N7O17P3S
ocdca_c,C18H35O2
ocdcaACP_c,C29H55N2O8PRS
ocdcap_c,C18H36O5P
ocdcea_c,C18H33O2
ocdceap_c,C18H34O5P
octa_c,C8H15O2
octapb_c,C8H15O
octdp_c,C40H65O7P2
octeACP_c,C29H53N2O8PRS
od2coa_c,C39H64N7O17P3S
odecoa_c,C39H64N7O17P3S
ogmeACP_c,C17H27N2O11PRS
ohpb_c,C4H4O8P
op4en_c,C5H5O3
opmeACP_c,C19H31N2O11PRS
orn_c,C5H13N2O2
orot_c,C5H3N2O4
orot5p_c,C10H10N2O11P
oxa_c,C2O4
oxadpcoa_c,C27H37N7O20P3S
oxalcoa_c,C23H31N7O19P3S
oxam_c,C2H2NO3
oxur_c,C3H3N2O4
pa120_c,C27H51O8P1
pa140_c,C31H59O8P1
pa141_c,C31H55O8P1
pa160_c,C35H67O8P1
pa161_c,C35H63O8P1
pa180_c,C39H75O8P1
pa181_c,C39H71O8P1
pac_c,C8H7O2
pacald_c,C8H8O
palmACP_c,C27H51N2O8PRS
pan4p_c,C11H21N2O7PS
pant__R_c,C6H11O4
pap_c,C10H11N5O10P2
paps_c,C10H11N5O13P2S
pdx5p_c,C8H10NO6P
pe120_c,C29H58N1O8P1
pe140_c,C33H66N1O8P1
pe141_c,C33H62N1O8P1
pe160_c,C37H74N1O8P1
pe161_c,C37H70N1O8P1
pe180_c,C41H82N1O8P1
pe181_c,C41H78N1O8P1
pep_c,C3H2O6P
pg120_c,C30H58O10P1
pg140_c,C34H66O10P1
pg141_c,C34H62O10P1
pg160_c,C38H74O10P1
pg161_c,C38H70O10P1
pg180_c,C42H82O10P1
pg181_c,C42H78O10P1
pgp120_c,C30H57O13P2
pgp140_c,C34H65O13P2
pgp141_c,C34H61O13P2
pgp160_c,C38H73O13P2
pgp161_c,C38H69O13P2
pgp180_c,C42H81O13P2
pgp181_c,C42H77O13P2
phaccoa_c,C29H38N7O17P3S
